coral_id,bommie,density,density_continuous,exposure,vertical_height_change_prop,survivorship
1,24,High,8,caged,0.142857143,1
2,20,High,8,caged,0.15942029,1
3,6,High,8,caged,0.085714286,1
4,13,High,8,caged,0.166666667,1
5,24,High,8,caged,0.166666667,1
6,20,High,8,caged,0.106666667,1
7,9,High,8,caged,0.14516129,1
8,17,High,8,caged,0.125,1
9,9,High,8,caged,0.231884058,1
10,12,High,8,caged,0.125,1
11,2,High,8,caged,0.053333333,1
12,12,High,8,caged,0.125,1
13,2,High,8,caged,0.205479452,1
14,13,High,8,caged,0.115942029,1
15,6,High,8,caged,0.065789474,1
16,17,High,8,caged,0.146666667,1
17,24,High,8,caged,0.038961039,1
18,9,High,8,caged,0.138888889,1
19,15,Mid,4,caged,0.12,1
20,19,Mid,4,caged,0.191780822,1
21,12,High,8,caged,0.228571429,1
23,15,Mid,4,caged,0.115942029,1
24,2,High,8,caged,0.057971014,1
25,6,High,8,caged,0.14084507,1
26,9,High,8,caged,0.151515152,1
27,3,Mid,4,caged,0.105263158,1
28,19,Mid,4,caged,0.106666667,1
29,8,Mid,4,caged,0.042253521,1
30,11,Low,1,caged,0.056603774,1
31,10,Mid,4,caged,0.082191781,1
32,6,High,8,caged,0.085714286,1
33,3,Mid,4,caged,0,1
34,13,High,8,caged,0.205479452,1
35,20,High,8,caged,0.173333333,1
36,5,Mid,4,caged,0.025974026,1
37,17,High,8,caged,0.135135135,1
38,8,Mid,4,caged,0.166666667,1
39,5,Mid,4,caged,0.114285714,1
40,7,Low,1,caged,0.111111111,1
41,20,High,8,caged,0.117647059,1
42,17,High,8,caged,0.194029851,1
43,21,Mid,4,caged,0.041666667,1
44,9,High,8,caged,0.058823529,1
45,17,High,8,caged,0.043478261,1
46,8,Mid,4,caged,0.118421053,1
47,15,Mid,4,caged,0.072289157,1
48,22,Low,1,caged,0,1
49,18,Low,1,caged,0,1
50,20,High,8,caged,0.09375,1
51,17,High,8,caged,0.171428571,1
52,3,Mid,4,caged,0.057142857,1
53,13,High,8,caged,0.108108108,1
54,13,High,8,caged,0.054794521,1
55,12,High,8,caged,0.202702703,1
56,20,High,8,caged,0.055555556,1
57,8,Mid,4,caged,0.05,1
58,6,High,8,caged,0.109589041,1
59,13,High,8,caged,0.054054054,1
60,20,High,8,caged,0.106666667,1
61,20,High,8,caged,0.138888889,1
62,14,Low,1,caged,0.118644068,1
63,9,High,8,caged,0.086956522,1
64,23,Mid,4,caged,0.183098592,1
65,6,High,8,caged,0.214285714,1
66,19,Mid,4,caged,0.191780822,1
67,21,Mid,4,caged,0.013333333,1
68,15,Mid,4,caged,0.08,1
69,13,High,8,caged,0.125,1
70,24,High,8,caged,0.117647059,1
71,23,Mid,4,caged,0.209677419,1
72,24,High,8,caged,0.133333333,1
73,2,High,8,caged,0.142857143,1
74,5,Mid,4,caged,0.197183099,1
75,5,Mid,4,caged,0.162162162,1
77,6,High,8,caged,0.193548387,1
79,23,Mid,4,caged,0.228571429,1
80,12,High,8,caged,0.309090909,1
81,13,High,8,caged,0.115942029,1
82,1,Low,1,caged,0.216666667,1
84,16,Low,1,caged,0.015384615,1
85,2,High,8,caged,0,1
86,19,Mid,4,caged,0.108108108,1
87,9,High,8,caged,0.144927536,1
88,17,High,8,caged,0.153846154,1
89,24,High,8,caged,0.025316456,1
90,2,High,8,caged,0.014084507,1
91,10,Mid,4,caged,0.153846154,1
92,2,High,8,caged,0.147540984,1
93,10,Mid,4,caged,0.180327869,1
94,12,High,8,caged,0.192307692,1
95,21,Mid,4,caged,0.111111111,1
96,24,High,8,caged,0.164383562,1
97,12,High,8,caged,0.166666667,1
98,17,High,8,caged,0.183333333,1
99,2,High,8,caged,0.188405797,1
100,3,Mid,4,caged,0.133333333,1
101,10,Mid,4,caged,0.115942029,1
102,4,Low,1,caged,0,1
103,9,High,8,caged,0.148648649,1
104,23,Mid,4,caged,0.126984127,1
148,25,Low,1,caged,0.075757576,1
182,12,High,8,caged,0.028169014,1
190,26,Low,1,caged,0,1
206,6,High,8,caged,0.085714286,1
222,27,Low,1,caged,0.086956522,1
224,28,Low,1,caged,0.071428571,1
105,24,High,8,exposed,-1,0
106,9,High,8,exposed,-1,0
107,2,High,8,exposed,-0.472222222,1
108,9,High,8,exposed,-1,0
109,17,High,8,exposed,-1,0
110,12,High,8,exposed,-0.871428571,1
111,13,High,8,exposed,-0.929577465,1
112,2,High,8,exposed,-0.611940299,1
113,20,High,8,exposed,-1,0
114,13,High,8,exposed,-1,0
115,17,High,8,exposed,-1,0
116,8,Mid,4,exposed,-0.911764706,1
117,6,High,8,exposed,-1,0
118,24,High,8,exposed,-0.878787879,1
119,20,High,8,exposed,-1,0
120,12,High,8,exposed,-0.915492958,1
121,6,High,8,exposed,-0.888888889,1
122,24,High,8,exposed,-0.808823529,1
123,28,Low,1,exposed,-0.97260274,0
124,20,High,8,exposed,-1,0
125,24,High,8,exposed,-1,0
126,6,High,8,exposed,-0.971428571,0
127,17,High,8,exposed,-1,0
128,5,Mid,4,exposed,-1,0
129,2,High,8,exposed,-0.506666667,1
130,10,Mid,4,exposed,-0.901408451,1
131,10,Mid,4,exposed,-0.842105263,1
132,2,High,8,exposed,-0.27027027,1
133,25,Low,1,exposed,-1,0
134,24,High,8,exposed,-0.972972973,0
135,8,Mid,4,exposed,-0.95890411,0
136,19,Mid,4,exposed,-1,0
137,13,High,8,exposed,-0.893333333,1
138,22,Low,1,exposed,-1,0
139,21,Mid,4,exposed,-0.942028986,1
140,13,High,8,exposed,-0.8125,1
141,20,High,8,exposed,-0.906666667,1
142,6,High,8,exposed,-0.934210526,1
143,11,Low,1,exposed,-0.464788732,1
144,13,High,8,exposed,-1,0
145,21,Mid,4,exposed,-1,0
146,12,High,8,exposed,-1,0
147,23,Mid,4,exposed,-1,0
149,1,Low,1,exposed,-1,0
151,6,High,8,exposed,-0.867647059,1
152,15,Mid,4,exposed,-0.652777778,1
153,19,Mid,4,exposed,-0.941176471,1
155,2,High,8,exposed,-0.382352941,1
156,6,High,8,exposed,-1,0
157,13,High,8,exposed,-1,0
158,12,High,8,exposed,-0.718309859,1
159,3,Mid,4,exposed,-0.188405797,1
160,12,High,8,exposed,-0.866666667,1
161,24,High,8,exposed,-1,0
162,10,Mid,4,exposed,-0.9,1
163,2,High,8,exposed,-0.569444444,1
164,14,Low,1,exposed,-1,0
165,20,High,8,exposed,-1,0
167,20,High,8,exposed,-1,0
168,23,Mid,4,exposed,-0.946666667,1
169,6,High,8,exposed,-0.878378378,1
170,8,Mid,4,exposed,-1,0
171,5,Mid,4,exposed,-0.907894737,1
172,7,Low,1,exposed,-0.928571429,1
173,9,High,8,exposed,-0.887323944,1
174,16,Low,1,exposed,-1,0
175,9,High,8,exposed,-0.945454545,1
176,5,Mid,4,exposed,-0.925373134,1
177,3,Mid,4,exposed,-1,0
179,27,Low,1,exposed,-0.925925926,1
180,20,High,8,exposed,-0.923076923,1
181,5,Mid,4,exposed,-0.256756757,1
184,15,Mid,4,exposed,-1,0
185,26,Low,1,exposed,-1,0
186,17,High,8,exposed,-1,0
187,18,Low,1,exposed,-1,0
189,19,Mid,4,exposed,-0.911764706,1
191,12,High,8,exposed,-1,0
192,17,High,8,exposed,-0.957746479,0
194,4,Low,1,exposed,-0.887323944,1
195,6,High,8,exposed,-1,0
196,17,High,8,exposed,-0.947368421,1
197,8,Mid,4,exposed,-0.333333333,1
198,2,High,8,exposed,-0.9,1
199,24,High,8,exposed,-0.371428571,1
200,12,High,8,exposed,-0.882352941,1
201,15,Mid,4,exposed,-0.861111111,1
203,17,High,8,exposed,-1,0
204,9,High,8,exposed,-1,0
205,12,High,8,exposed,-0.972222222,0
207,3,Mid,4,exposed,-0.915492958,1
208,9,High,8,exposed,-0.853333333,1
209,21,Mid,4,exposed,-0.927536232,1
210,9,High,8,exposed,-0.932432432,1
211,3,Mid,4,exposed,-1,0
213,23,Mid,4,exposed,-0.954545455,0
215,24,High,8,exposed,-1,0
216,15,Mid,4,exposed,-1,0
217,9,High,8,exposed,-1,0
218,13,High,8,exposed,-0.893939394,1
219,17,High,8,exposed,-1,0
220,21,Mid,4,exposed,-1,0
221,23,Mid,4,exposed,-0.934210526,1
223,13,High,8,exposed,-1,0
225,20,High,8,exposed,-1,0
226,2,High,8,exposed,-0.428571429,1
227,10,Mid,4,exposed,-0.718309859,1
228,19,Mid,4,exposed,-0.942028986,1